127.0.0.1 - - [15/Sep/2023:20:50:34 -0500] "GET / HTTP/1.1" 200 11230
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:49 -0500] "GET /inlinemanage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/assets/css/formsUpdate.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/assets/css/index.css HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/assets/css/main.css HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/assets/css/indexModule.css HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/assets/js/index.js HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:50 -0500] "GET /inlinemanage/assets/img/LogoInterline.PNG HTTP/1.1" 200 27353
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:50:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:54:00 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:54:01 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:55:04 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:55:04 -0500] "GET /inlinemanage/assets/css/index1.css HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:55:05 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:56:01 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:56:01 -0500] "GET /inlinemanage/assets/css/index1.css HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:56:22 -0500] "GET /inlinemanage/ HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:56:22 -0500] "GET /inlinemanage/assets/css/index1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:58:11 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:58:11 -0500] "GET /inlinemanage/assets/css/index1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:58:24 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:58:25 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:58:25 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:59:05 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [15/Sep/2023:20:59:05 -0500] "GET /inlinemanage/assets/css/index1.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [15/Sep/2023:21:00:33 -0500] "POST /inlinemanage/ControllerInline HTTP/1.1" 200 3365
